4Q521 f12:1       ויתן כ◌[ -- ]
4Q521 f12:2       [ומ]ל̇כ֯ו֯ת֯[ -- ].
4Q521 f13:1       [ -- ]הם ◌◌[ -- ]
4Q521 f13:2       [ -- ]◌◌[ ]◌[ -- ].
4Q521 f14:1       [ -- ]ם֯[ -- ]
4Q521 f14:2       [ -- בין צדי]ק֯ לרש֯[ע -- ]
4Q521 f14:3       [ -- ]ל[ -- ].
4Q521 f15:1       [ -- ]ץ֯ מ◌[ ]ם֯[ -- ]
4Q521 f15:2       [ -- ]〚 〛[ -- ]
4Q521 f15:3       [ -- י]שראל[ -- ]
4Q521 f15:4       [ -- ]את א[ -- ].
4Q521 f16:1       [ -- ]◌◌ כ֯ל֯[ -- ]
4Q521 f16:2       [ -- ]צת א̇[ -- ]
4Q521 f16:3       [ -- ]ג֯[ -- ].
