4Q286 f7ii:4       וזעומים המה במחשבות נדת [ט]מאתמה.   כיא֯[ המה גור]ל̇ חושך ופקודתמה
4Q286 f7ii:5       לשחת עולמים אמן אמן.   〚 〛 וארור הרש[ע בכול קצי] ממשלותיו וזעומים
4Q286 f7ii:6       כול בני בלי[על] בכול עונות מעמדמה עד תוממה [לעד אמן אמן.   ]〚 〛
4Q286 f7ii:7       ו[הוסיפו ואמרו ארור אתה מלא]ך̇ השחת ורו̇[ח האב]ד̇ון בכ̇ו̇[ל] מחשב̇ו̇ת יצר
4Q286 f7ii:8       א[שמתכה ובכול מזמות תוע]ב֯ה̇ ועצת רשע[תכה וז]ע̇ום אתה במ֯[מש]ל̇[ת]
4Q286 f7ii:9       [עולתכה ובמשרת אשמתכה ורשעתכ]ה עם כול ג̇[אולי שאו]ל וע֯[ם חרפות שח]ת̇
4Q286 f7ii:10       [ועם כל]מ֯ות כלה ל֯[אין שרית בלוא סלי]ח̇ות באף עב̇ר̇ת֯[ א]ל [לכול עדי עולמי]ם אמן א̇[מן].
4Q286 f7ii:11       [וארורים כ]ו֯ל עוש[י מחשבות רשע]ת֯מה ומקימי מזמתמ̇ה [בלבבמה לזום]
4Q286 f7ii:12       [על ברית א]ל ו̇ל[ -- דברי חוזי אמ]תו ולהמ̇י̇ר את מש̇פ̇[טי התורה].
4Q286 f7ii:13       [ -- ]◌ה֯ ◌[ -- ]
4Q286 f8:1       [ -- ]המה לאל עול̇[ם -- ]
4Q286 f8:2       [ -- ]עולם ו◌◌[ -- ]
4Q286 f8:3       [ -- ]המה [ -- ].
4Q286 f9:1       [ -- ]◌
4Q286 f9:2       [ -- ]ד֯
4Q286 f9:3       [ -- ]א֯מ֯ן̇ אמן.
4Q286 f9:4       [ -- י]ע֯נ֯ו֯ ו^י^אמרו
4Q286 f9:5       [ -- ]◌[ ]ת̇ינו.
4Q286 f10:1       [ -- ]בכול ת[ -- ]
4Q286 f10:2       [ -- ]ל[ -- ]
4Q286 f11:1       [ -- ]ל֯שם כבוד[כה -- ]
4Q286 f11:2       [ -- ]בכה ב[ -- ]
4Q286 f11:3       [ -- ]ת קוד̇[ש -- ].
4Q286 f12:1       [ -- ]◌כ֯ה̇ ו̇ה֯מ̇ק̇[ -- ]
4Q286 f12:2       [ -- מ]שרתיכה בתפא֯[רת -- ]
4Q286 f12:3       [ -- מלאכ]י̇ צדקכה ב◌[ -- ]
4Q286 f12:4       [ -- קד]ו֯שי קדו֯[שים -- ].
4Q286 f15:1       [ -- ]אלמנה מע[ -- ]
4Q286 f15:2       [ -- אביונ]י֯ם להתעו̇[ -- ]
4Q286 f15:3       [ -- ]◌חו [ -- ].
4Q286 f16:1       [ -- ]ד ◌[ -- ]
4Q286 f16:2       [ -- ]ב֯פקודת֯[ -- ].
4Q286 f17a:1       [ -- ]מ֯נ֯ה֯ ו֯מ֯ע֯ש̇ר֯ ◌[ -- ]
4Q286 f17a:2       [ -- ]ה֯ יפקדו ראושי֯ [ -- ].
4Q286 f17b:1       [ -- בשקל הקוד]ש֯ ב̇נ̇י̇ א̇[הרון -- ]
4Q286 f17b:2       [ -- ימשלו ב]מ̇שפט ובהון וה◌[ -- ].
4Q286 f18:1       [ -- ] במשפחות[ -- ].
4Q286 f18:2       [ -- ]◌מ̇ו̇◌◌◌[ -- ].
4Q286 f19:1       [ -- ]ר֯י̇ יו◌[ -- ].
4Q286 f19:2       [ -- ]◌ו̇ ו̇◌צ◌[ -- ].
4Q286 f20:1       [ -- מחשב]ת̇ צדק
4Q286 f20:2       [ -- כמצות]מה יוכיחנו וירחם
4Q286 f20:3       [ -- מיום] ל̇[יו]ם̇ לוא
4Q286 f20:4       [ -- אנש]י֯ היחד
4Q286 f20:5       [ -- מעשי] ר̇מ֯[י]ה֯
4Q286 f20:6       [ -- להתם מעשיו]
4Q286 f20:7       [מכול חטא -- אל יקום לנפשו כול דבר]
4Q286 f20:8       [כי -- ואל יושע]
4Q286 f20:9       [לנפשו -- ] באף ובקנאת̇[ רוח]
4Q286 f20:10       [רשע -- וחר]ו̇ן̇ אף והתקומם בלוא֯.
4Q286 f13:1       [ -- ]ש֯גה בשוב֯[ו -- ]
4Q286 f13:2       [ -- ]ל ואל יטו̇[ר -- ]
4Q286 f13:3       [ -- ]ל[ -- ].
4Q286 f14:1       [ -- ח]ס֯דו וברוח[ -- ]
4Q286 f14:2       [ -- יי]ס̇רו בכול[ -- ]
4Q286 f14:3       [ -- בהו]כ֯יחו לפני ע֯[דים -- ]
4Q286 f14:4       [ -- י]ע֯נש [ -- ].
